iter	Passed	Remaining
694	1965	862
695	1967	859
696	1968	855
697	1970	852
698	1976	851
699	1978	848
700	1980	844
701	1998	848
702	2000	845
703	2002	841
704	2003	838
705	2009	837
706	2012	834
707	2015	831
708	2018	828
709	2022	826
710	2025	823
711	2026	819
712	2029	816
713	2035	815
714	2041	813
715	2042	810
716	2044	807
717	2046	803
718	2049	800
719	2050	797
720	2056	795
721	2058	792
722	2060	789
723	2065	787
724	2070	785
725	2072	782
726	2074	779
727	2076	775
728	2078	772
729	2080	769
730	2082	766
731	2087	764
732	2089	761
733	2091	757
734	2092	754
735	2094	751
736	2096	748
737	2102	746
738	2104	743
739	2107	740
740	2109	737
741	2111	734
742	2113	730
743	2119	729
744	2121	726
745	2123	723
746	2124	719
747	2126	716
748	2128	713
749	2132	710
750	2134	707
751	2138	705
752	2142	702
753	2144	699
754	2150	697
755	2152	694
756	2154	691
757	2158	689
758	2160	686
759	2168	684
760	2169	681
761	2171	678
762	2176	675
763	2181	673
764	2183	670
765	2185	667
766	2187	664
767	2188	661
768	2190	658
769	2192	654
770	2194	651
771	2197	648
772	2199	645
773	2200	642
774	2202	639
775	2210	637
776	2212	635
777	2215	632
778	2218	629
779	2223	627
780	2225	624
781	2227	620
782	2230	618
783	2233	615
784	2235	612
785	2241	610
786	2243	607
787	2245	604
788	2249	601
789	2251	598
790	2255	595
791	2258	593
792	2260	590
793	2262	586
794	2264	583
795	2266	580
796	2272	578
797	2274	575
798	2276	572
799	2278	569
800	2279	566
801	2281	563
802	2287	561
803	2289	558
804	2291	554
805	2292	551
806	2295	548
807	2297	545
808	2302	543
809	2304	540
810	2306	537
811	2308	534
812	2310	531
813	2312	528
814	2317	526
815	2320	523
816	2323	520
817	2327	517
818	2332	515
819	2336	512
820	2339	510
821	2342	507
822	2350	505
823	2352	502
824	2354	499
825	2356	496
826	2359	493
827	2364	491
828	2366	488
829	2368	485
830	2370	482
831	2373	479
832	2375	476
833	2381	473
834	2383	470
835	2385	467
836	2387	464
837	2389	461
838	2390	458
839	2397	456
840	2399	453
841	2400	450
842	2402	447
843	2404	444
844	2407	441
845	2413	439
846	2415	436
847	2418	433
848	2420	430
849	2422	427
850	2426	424
851	2434	422
852	2437	420
853	2442	417
854	2445	414
855	2448	411
856	2451	409
857	2453	406
858	2459	403
859	2461	400
860	2464	397
861	2466	394
862	2467	391
863	2470	388
864	2472	385
865	2474	382
866	2475	379
867	2477	376
868	2480	373
869	2486	371
870	2488	368
871	2490	365
872	2492	362
873	2494	359
874	2527	361
875	2530	358
876	2535	355
877	2537	352
878	2538	349
879	2540	346
880	2542	343
881	2544	340
882	2546	337
883	2548	334
884	2550	331
885	2551	328
886	2553	325
887	2554	322
888	2556	319
889	2558	316
890	2563	313
891	2565	310
892	2567	307
893	2569	304
894	2571	301
895	2573	298
896	2580	296
897	2582	293
898	2584	290
899	2586	287
900	2587	284
901	2590	281
902	2594	278
903	2596	275
904	2600	273
905	2602	270
906	2604	267
907	2608	264
908	2612	261
909	2614	258
910	2618	255
911	2620	252
912	2625	250
913	2627	247
914	2629	244
915	2633	241
916	2635	238
917	2645	236
918	2647	233
919	2648	230
920	2650	227
921	2652	224
922	2656	221
923	2657	218
924	2659	215
925	2661	212
926	2663	209
927	2664	206
928	2666	203
929	2670	201
930	2673	198
931	2675	195
932	2677	192
933	2679	189
934	2681	186
935	2683	183
936	2690	180
937	2692	177
938	2694	175
939	2696	172
940	2698	169
941	2703	166
942	2705	163
943	2707	160
944	2709	157
945	2711	154
946	2713	151
947	2718	149
948	2721	146
949	2723	143
950	2725	140
951	2727	137
952	2732	134
953	2735	131
954	2738	129
955	2741	126
956	2742	123
957	2748	120
958	2750	117
959	2753	114
960	2755	111
961	2757	108
962	2759	106
963	2765	103
964	2768	100
965	2769	97
966	2771	94
967	2773	91
968	2778	88
969	2780	85
970	2781	83
971	2783	80
972	2785	77
973	2786	74
974	2788	71
975	2790	68
976	2792	65
977	2794	62
978	2796	59
979	2798	57
980	2800	54
981	2811	51
982	2813	48
983	2815	45
984	2818	42
985	2822	40
986	2824	37
987	2826	34
988	2828	31
989	2833	28
990	2835	25
991	2838	22
992	2840	20
993	2842	17
994	2844	14
995	2846	11
996	2848	8
997	2850	5
998	2853	2
999	2855	0
